source,source.category,target,target.category,dessert
almond,Nut,amaretto,Alcohol,13
almond,Nut,apple,Fruit,12
almond,Nut,apricot,Fruit,22
almond,Nut,berry,Fruit,26
almond,Nut,blackberry,Fruit,6
almond,Nut,brandy,Alcohol,13
almond,Nut,cashew,Nut,9
almond,Nut,cherry,Fruit,36
almond,Nut,chocolate,Misc,68
almond,Nut,cinnamon,Spice,10
almond,Nut,citrus,Fruit,8
almond,Nut,coconut,Fruit,8
almond,Nut,coffee,Misc,11
almond,Nut,cranberry,Fruit,8
almond,Nut,cream cheese,Dairy,16
almond,Nut,currant,Fruit,5
almond,Nut,date,Fruit,8
almond,Nut,dried fruit,Fruit,7
almond,Nut,egg,Poultry,72
almond,Nut,fig,Fruit,6
almond,Nut,ginger,Vegetable,15
almond,Nut,hazelnut,Nut,12
almond,Nut,honey,Condiment,24
almond,Nut,jam or jelly,Condiment,10
almond,Nut,lemon,Fruit,20
almond,Nut,lime,Fruit,5
almond,Nut,liqueur,Alcohol,11
almond,Nut,milk/cream,Dairy,51
almond,Nut,oat,Grain,5
almond,Nut,orange,Fruit,25
almond,Nut,peach,Fruit,5
almond,Nut,pear,Fruit,17
almond,Nut,pecan,Nut,9
almond,Nut,phyllo/puff pastry dough,Misc,5
almond,Nut,pistachio,Nut,11
almond,Nut,plum,Fruit,8
almond,Nut,raisin,Fruit,13
almond,Nut,raspberry,Fruit,18
almond,Nut,rice,Grain,5
almond,Nut,sour cream,Dairy,9
almond,Nut,strawberry,Fruit,15
almond,Nut,vanilla,Condiment,11
almond,Nut,walnut,Nut,19
amaretto,Alcohol,chocolate,Misc,9
amaretto,Alcohol,egg,Poultry,9
amaretto,Alcohol,milk/cream,Dairy,9
anise,Spice,cinnamon,Spice,7
anise,Spice,egg,Poultry,8
anise,Spice,ginger,Vegetable,6
anise,Spice,honey,Condiment,5
anise,Spice,lemon,Fruit,7
anise,Spice,milk/cream,Dairy,9
anise,Spice,pineapple,Fruit,5
anise,Spice,vanilla,Condiment,5
apple,Fruit,apricot,Fruit,9
apple,Fruit,berry,Fruit,6
apple,Fruit,brandy,Alcohol,6
apple,Fruit,butter,Dairy,5
apple,Fruit,cheddar,Dairy,7
apple,Fruit,cherry,Fruit,13
apple,Fruit,cinnamon,Spice,30
apple,Fruit,citrus,Fruit,8
apple,Fruit,clove,Spice,6
apple,Fruit,cranberry,Fruit,17
apple,Fruit,cream cheese,Dairy,5
apple,Fruit,currant,Fruit,7
apple,Fruit,dried fruit,Fruit,8
apple,Fruit,egg,Poultry,27
apple,Fruit,fig,Fruit,6
apple,Fruit,fruit juice,Fruit,9
apple,Fruit,ginger,Vegetable,10
apple,Fruit,hazelnut,Nut,5
apple,Fruit,honey,Condiment,11
apple,Fruit,lemon,Fruit,6
apple,Fruit,milk/cream,Dairy,23
apple,Fruit,nutmeg,Spice,6
apple,Fruit,oat,Grain,14
apple,Fruit,orange,Fruit,5
apple,Fruit,pear,Fruit,8
apple,Fruit,pecan,Nut,17
apple,Fruit,phyllo/puff pastry dough,Misc,13
apple,Fruit,prune,Fruit,11
apple,Fruit,quince,Fruit,5
apple,Fruit,raisin,Fruit,27
apple,Fruit,rum,Alcohol,10
apple,Fruit,sour cream,Dairy,8
apple,Fruit,vanilla,Condiment,7
apple,Fruit,walnut,Nut,19
apricot,Fruit,berry,Fruit,8
apricot,Fruit,brandy,Alcohol,6
apricot,Fruit,cherry,Fruit,20
apricot,Fruit,chocolate,Misc,13
apricot,Fruit,cinnamon,Spice,5
apricot,Fruit,cranberry,Fruit,11
apricot,Fruit,cream cheese,Dairy,12
apricot,Fruit,dried fruit,Fruit,11
apricot,Fruit,egg,Poultry,15
apricot,Fruit,fig,Fruit,5
apricot,Fruit,jam or jelly,Condiment,8
apricot,Fruit,milk/cream,Dairy,6
apricot,Fruit,pear,Fruit,10
apricot,Fruit,pecan,Nut,8
apricot,Fruit,pineapple,Fruit,5
apricot,Fruit,prune,Fruit,5
apricot,Fruit,raisin,Fruit,7
apricot,Fruit,raspberry,Fruit,6
apricot,Fruit,walnut,Nut,6
banana,Fruit,chocolate,Misc,25
banana,Fruit,coconut,Fruit,7
banana,Fruit,cream cheese,Dairy,8
banana,Fruit,egg,Poultry,12
banana,Fruit,mango,Fruit,5
banana,Fruit,milk/cream,Dairy,25
banana,Fruit,pecan,Nut,9
banana,Fruit,pineapple,Fruit,9
banana,Fruit,rum,Alcohol,21
banana,Fruit,strawberry,Fruit,7
banana,Fruit,walnut,Nut,8
berry,Fruit,blackberry,Fruit,33
berry,Fruit,blueberry,Fruit,40
berry,Fruit,cheese,Dairy,8
berry,Fruit,cherry,Fruit,11
berry,Fruit,chocolate,Misc,30
berry,Fruit,cinnamon,Spice,5
berry,Fruit,citrus,Fruit,29
berry,Fruit,cranberry,Fruit,16
berry,Fruit,cream cheese,Dairy,15
berry,Fruit,egg,Poultry,34
berry,Fruit,ginger,Vegetable,9
berry,Fruit,herb,Herb,5
berry,Fruit,jam or jelly,Condiment,5
berry,Fruit,lemon,Fruit,25
berry,Fruit,lime,Fruit,7
berry,Fruit,liqueur,Alcohol,5
berry,Fruit,milk/cream,Dairy,44
