source,target,lunch
arugula,basil,6
arugula,cheese,8
arugula,leafy green,7
arugula,mayonnaise,5
arugula,mozzarella,5
arugula,olive,5
arugula,onion,5
arugula,parmesan,5
arugula,tomato,9
avocado,cheese,5
avocado,cilantro,5
avocado,cucumber,5
avocado,fish,6
avocado,jalapeno,5
avocado,leafy green,8
avocado,mayonnaise,5
avocado,shrimp,6
avocado,tomato,7
bacon,beef,5
bacon,blue cheese,5
bacon,cheddar,8
bacon,cheese,11
bacon,egg,10
bacon,fish,5
bacon,ground beef,5
bacon,leafy green,9
bacon,mayonnaise,6
bacon,milk/cream,12
bacon,onion,9
bacon,pork,11
bacon,potato,11
bacon,sour cream,5
bacon,tomato,13
basil,cheese,8
basil,cucumber,5
basil,goat cheese,11
basil,herb,9
basil,leafy green,5
basil,milk/cream,5
basil,mozzarella,9
basil,olive,6
basil,pasta,10
basil,shrimp,5
basil,tomato,23
bean,cheese,8
bean,chickpea,5
bean,herb,6
bean,kale,5
bean,leafy green,6
bean,onion,6
bean,pasta,6
bean,sausage,7
bean,tomato,10
beef,cheese,5
beef,ground beef,8
beef,herb,5
beef,horseradish,5
beef,leafy green,5
beef,mayonnaise,5
beef,onion,11
beef,pork,5
beet,goat cheese,10
bell pepper,cheese,7
bell pepper,eggplant,5
bell pepper,olive,5
bell pepper,onion,9
bell pepper,pepper,8
bell pepper,tomato,12
blue cheese,cheese,8
blue cheese,leafy green,9
blue cheese,lettuce,6
bread,onion,5
butternut squash,squash,7
cabbage,onion,6
carrot,celery,5
carrot,onion,8
carrot,potato,5
carrot,radish,5
celery,chicken,6
celery,mayonnaise,5
celery,onion,5
celery,tomato,5
cheddar,cheese,16
cheddar,egg,8
cheddar,onion,6
cheddar,tomato,6
cheese,chile pepper,5
cheese,egg,12
cheese,eggplant,5
cheese,garlic,12
cheese,goat cheese,15
cheese,ham,9
cheese,herb,18
cheese,leafy green,20
cheese,leek,5
cheese,lemon,6
cheese,milk/cream,5
cheese,mint,6
cheese,mozzarella,10
cheese,mushroom,10
cheese,noodle,5
cheese,olive,10
cheese,onion,23
cheese,parmesan,17
cheese,parsley,5
cheese,pasta,17
cheese,pepper,8
cheese,pork,15
cheese,poultry,7
cheese,prosciutto,8
cheese,ricotta,6
cheese,sausage,8
cheese,spinach,7
cheese,swiss cheese,7
cheese,tomato,26
cheese,zucchini,6
chicken,cilantro,6
chicken,citrus,5
chicken,cucumber,6
chicken,curry,5
chicken,garlic,8
chicken,ginger,9
chicken,herb,5
chicken,hot pepper,6
chicken,leafy green,9
chicken,lemon,6
chicken,lettuce,5
chicken,mayonnaise,7
chicken,milk/cream,5
chicken,mushroom,5
chicken,onion,15
chicken,pasta,6
chicken,pork,5
chicken,poultry,24
chicken,soy sauce,6
chicken,tomato,14
chicken,yogurt,6
chickpea,tomato,6
chive,fish,5
chive,herb,6
chive,lemon,5
chive,salmon,7
cilantro,cucumber,5
cilantro,garlic,6
cilantro,ginger,8
cilantro,herb,8
cilantro,hot pepper,5
cilantro,mint,6
cilantro,onion,7
cilantro,parsley,8
