source,target,vegetarian
almond,amaretto,8
almond,apple,8
almond,apricot,19
almond,basil,5
almond,berry,20
almond,brandy,9
almond,bread,7
almond,cashew,11
almond,cauliflower,5
almond,cheese,8
almond,cherry,27
almond,chocolate,32
almond,cinnamon,6
almond,coconut,8
almond,coffee,7
almond,cranberry,7
almond,cream cheese,13
almond,currant,6
almond,date,7
almond,dried fruit,13
almond,egg,46
almond,fig,5
almond,garlic,12
almond,ginger,13
almond,hazelnut,12
almond,herb,6
almond,honey,24
almond,jam or jelly,5
almond,leafy green,9
almond,lemon,13
almond,milk/cream,29
almond,oat,9
almond,onion,5
almond,orange,15
almond,parmesan,5
almond,parsley,6
almond,pasta,9
almond,pear,10
almond,pecan,7
almond,pistachio,13
almond,plum,6
almond,raisin,23
almond,raspberry,13
almond,rice,8
almond,sour cream,8
almond,strawberry,8
almond,tomato,7
almond,vanilla,6
almond,walnut,15
amaretto,egg,7
amaretto,milk/cream,5
anise,cinnamon,9
anise,egg,8
anise,ginger,9
anise,lemon,7
anise,milk/cream,6
anise,vanilla,5
apple,apricot,6
apple,berry,7
apple,blue cheese,5
apple,brandy,6
apple,bread,5
apple,butter,5
apple,cabbage,16
apple,carrot,9
apple,celery,11
apple,cheddar,5
apple,cheese,10
apple,cherry,13
apple,cinnamon,23
apple,citrus,7
apple,clove,5
apple,cranberry,13
apple,cream cheese,6
apple,currant,7
apple,dried fruit,9
apple,egg,21
apple,endive,5
apple,fruit juice,15
apple,ginger,10
apple,hazelnut,5
apple,herb,6
apple,honey,13
apple,leafy green,15
apple,lemon,6
apple,mayonnaise,7
apple,milk/cream,21
apple,nutmeg,6
apple,oat,12
apple,onion,12
apple,pear,7
apple,pecan,14
apple,phyllo/puff pastry dough,10
apple,prune,10
apple,raisin,24
apple,rum,8
apple,sour cream,7
apple,sweet potato/yam,7
apple,vanilla,8
apple,vinegar,11
apple,walnut,24
apple,yogurt,6
apricot,berry,7
apricot,brandy,6
apricot,cherry,19
apricot,chocolate,11
apricot,cinnamon,5
apricot,cranberry,9
apricot,cream cheese,10
apricot,dried fruit,12
apricot,egg,11
apricot,fig,6
apricot,jam or jelly,5
apricot,milk/cream,5
apricot,peach,5
apricot,pear,12
apricot,pecan,8
apricot,pineapple,5
apricot,pistachio,5
apricot,prune,8
apricot,raisin,8
apricot,raspberry,5
apricot,walnut,5
artichoke,cheese,7
artichoke,fennel,5
artichoke,garlic,9
artichoke,lemon,9
artichoke,olive,5
artichoke,parmesan,8
artichoke,parsley,5
artichoke,pasta,5
artichoke,tomato,6
arugula,bell pepper,9
arugula,cheese,9
arugula,eggplant,5
arugula,fennel,7
arugula,goat cheese,5
arugula,leafy green,21
arugula,lemon,6
arugula,olive,5
arugula,onion,12
arugula,orange,6
arugula,parmesan,15
arugula,pine nut,6
arugula,tomato,14
arugula,vinegar,6
asparagus,bean,6
asparagus,bell pepper,5
asparagus,cheese,9
asparagus,egg,8
asparagus,goat cheese,8
asparagus,herb,7
asparagus,lemon,5
asparagus,mushroom,10
asparagus,parmesan,11
asparagus,pasta,12
asparagus,potato,5
asparagus,tomato,6
avocado,bean,7
avocado,carrot,5
avocado,cheese,6
avocado,cilantro,14
avocado,garlic,7
avocado,herb,6
avocado,hot pepper,7
avocado,jalapeno,7
avocado,leafy green,10
avocado,onion,13
avocado,orange,9
avocado,tomatillo,7
avocado,tomato,17
avocado,tortillas,9
banana,bread,6
banana,chocolate,13
banana,coconut,6
banana,cream cheese,6
banana,egg,9
banana,mango,7
banana,milk/cream,16
banana,pecan,12
banana,pineapple,10
banana,rum,12
banana,strawberry,6
banana,yogurt,5
barley,herb,5
basil,bean,6
basil,bell pepper,18
basil,capers,5
basil,cheese,27
basil,cilantro,6
basil,corn,11
basil,egg,8
basil,eggplant,20
basil,garlic,25
basil,goat cheese,19
basil,green bean,8
basil,herb,26
basil,leafy green,6
basil,lemon,7
basil,milk/cream,9
basil,mint,14
basil,mozzarella,14
basil,olive,7
basil,onion,6
