source,target,number of recipes,breakfast,brunch,lunch,dinner,dessert,ice cream,drink,vegan,vegetarian
egg,milk/cream,416,44,47,9,5,278,0,17,0,251
onion,tomato,378,3,6,27,41,0,0,0,46,86
chicken,poultry,294,1,3,24,87,0,0,0,0,0
garlic,onion,280,2,2,11,41,0,0,0,24,52
garlic,herb,251,1,1,11,43,0,0,0,20,57
pasta,tomato,251,0,1,21,50,0,0,0,6,76
herb,onion,239,4,6,9,26,0,0,0,24,51
garlic,tomato,231,2,2,12,35,0,0,0,26,62
chocolate,milk/cream,203,0,0,0,0,185,0,16,0,108
herb,tomato,185,1,1,14,32,0,0,0,16,54
cheese,tomato,181,4,9,26,30,0,0,0,0,88
basil,tomato,169,2,3,23,17,2,0,0,14,64
olive,tomato,166,0,2,15,23,0,0,0,9,43
carrot,onion,165,0,0,8,21,0,0,0,20,28
onion,potato,163,8,13,7,18,0,0,0,11,51
beef,onion,157,1,0,11,32,0,0,0,0,0
chicken,onion,155,0,1,15,40,0,0,0,0,0
cheese,pasta,146,0,0,17,37,0,0,0,0,69
chocolate,egg,143,1,1,0,0,141,0,0,0,81
milk/cream,potato,143,3,2,14,12,0,0,0,0,58
bell pepper,onion,142,5,7,9,16,0,0,0,18,36
onion,pork,142,2,2,11,20,0,0,0,0,0
cheese,herb,139,8,10,18,23,1,0,0,0,73
citrus,herb,138,1,2,7,17,6,0,0,9,29
chicken,garlic,136,2,1,8,35,0,0,0,0,0
chicken,tomato,135,0,0,14,37,0,0,0,0,0
onion,pepper,134,7,7,8,10,0,0,0,15,36
cheese,onion,127,7,10,23,17,0,0,0,0,53
citrus,lemon,125,6,8,4,16,49,0,6,13,53
bell pepper,tomato,124,2,3,12,19,0,0,0,11,37
parmesan,pasta,122,0,0,9,29,0,0,0,1,42
garlic,ginger,121,1,0,3,19,0,0,0,16,22
cheese,egg,119,30,42,12,9,15,0,0,0,60
cheese,parmesan,119,4,5,17,21,1,0,0,0,52
chicken,herb,119,0,0,5,32,0,0,0,0,0
fish,salmon,114,9,15,18,32,0,0,0,0,0
citrus,orange,111,6,7,7,11,44,0,6,23,48
milk/cream,onion,111,3,4,7,3,1,0,0,0,28
celery,onion,109,0,2,5,9,0,0,0,7,12
fish,tomato,107,1,2,9,25,0,0,0,0,0
herb,pasta,107,0,0,8,24,0,0,0,8,42
mushroom,onion,107,5,6,7,19,0,0,0,5,32
onion,vinegar,107,0,0,4,13,0,0,0,22,39
bacon,pork,106,5,6,11,16,0,0,0,0,0
cilantro,onion,106,0,0,7,13,0,0,0,28,35
pork,tomato,106,1,3,7,16,0,0,0,0,0
fish,herb,105,3,6,6,25,0,0,0,0,0
herb,potato,105,3,5,5,14,0,0,0,10,41
bean,tomato,104,0,0,10,14,0,0,0,9,31
fish,onion,104,1,3,6,13,0,0,0,0,1
lemon,milk/cream,101,2,4,1,2,70,0,3,0,44
pepper,tomato,101,4,3,5,8,0,0,0,9,26
garlic,potato,100,1,1,3,9,0,0,0,11,46
beef,garlic,98,0,0,4,17,0,0,0,0,0
bean,onion,97,1,1,6,5,0,0,0,17,30
beef,tomato,97,0,0,3,18,0,0,0,0,0
carrot,celery,97,1,1,5,5,0,0,1,6,10
milk/cream,vanilla,97,7,6,0,0,80,0,9,0,58
cheese,leafy green,96,2,4,20,13,0,0,0,0,39
chicken,ginger,95,1,0,9,21,0,0,0,0,0
cinnamon,clove,95,4,4,1,2,34,0,26,12,32
pork,sausage,95,8,7,11,21,0,0,0,0,0
onion,pasta,94,0,0,8,10,0,0,0,2,21
garlic,pasta,93,0,0,8,23,0,0,0,5,34
garlic,lemon,92,0,0,5,13,0,0,0,9,23
bacon,onion,91,1,3,9,12,0,0,0,0,0
cheese,garlic,90,2,2,12,15,0,0,0,0,42
egg,lemon,90,3,3,3,3,64,0,1,0,47
cheese,pork,89,8,12,15,8,0,0,0,0,1
ginger,onion,89,0,1,6,14,0,0,0,6,10
fruit juice,orange,87,3,8,0,0,16,0,46,15,25
bell pepper,pepper,86,6,5,8,22,0,0,0,16,33
citrus,onion,86,0,1,7,7,0,0,0,5,13
parmesan,tomato,86,0,2,8,15,0,0,0,0,25
basil,pasta,85,0,0,10,14,0,0,0,6,35
cheddar,cheese,85,13,13,16,16,3,0,0,0,30
egg,onion,85,17,20,9,5,1,0,0,0,30
garlic,pork,85,0,0,5,19,0,0,0,0,0
herb,pork,85,3,4,6,15,0,0,0,0,1
mushroom,pasta,85,0,0,6,27,0,0,0,2,31
blue cheese,cheese,84,0,2,8,7,1,0,0,0,32
bread,cornmeal,84,10,12,4,4,2,0,0,0,41
ginger,soy sauce,84,0,0,6,19,0,0,0,8,11
onion,white wine,84,0,0,1,9,0,0,0,1,4
almond,egg,82,1,1,0,0,72,0,0,0,46
cilantro,tomato,82,1,1,6,10,0,0,0,19,24
beef,herb,81,0,0,5,20,0,0,0,0,0
egg,vanilla,81,3,4,0,0,72,0,2,0,51
onion,parsley,81,1,0,5,4,0,0,0,7,13
citrus,egg,80,5,5,0,2,60,0,0,0,50
tomato,white wine,80,0,0,3,15,0,0,0,0,1
herb,mint,79,2,3,10,7,5,0,3,16,34
olive,onion,79,0,1,8,16,0,0,0,9,18
garlic,parsley,78,0,0,3,10,0,0,0,9,22
mushroom,tomato,78,1,2,7,16,0,0,0,6,19
cilantro,garlic,77,1,1,6,14,0,0,0,9,15
herb,lemon,77,1,0,4,14,3,0,0,6,15
leafy green,onion,77,0,0,9,10,0,0,0,7,30
mustard,vinegar,77,0,1,0,4,0,0,0,10,14
potato,tomato,77,2,3,8,12,0,0,0,7,18
herb,parsley,76,2,1,10,16,0,0,1,12,34
milk/cream,white wine,76,0,0,5,10,7,0,0,0,9
shrimp,tomato,76,0,0,11,10,0,0,0,0,0
cilantro,lime,75,0,0,4,7,0,0,0,9,15
cheese,milk/cream,74,5,7,5,6,7,0,0,0,38
herb,poultry,74,0,0,4,22,0,0,0,0,0
hot pepper,tomato,74,2,1,7,6,0,0,0,8,18
almond,chocolate,73,0,0,0,0,68,0,0,1,32
eggplant,tomato,73,0,0,11,14,0,0,0,14,54
chocolate,coffee,72,3,3,0,0,61,0,5,0,39
garlic,mushroom,72,0,0,1,11,0,0,0,5,17
herb,leafy green,72,1,1,9,11,0,0,1,10,26
egg,herb,71,13,19,10,6,5,0,0,0,28
garlic,pepper,71,2,1,4,8,0,0,0,6,14
leafy green,tomato,71,2,5,13,5,0,0,0,3,27
milk/cream,mushroom,71,1,0,6,15,0,0,0,0,20
milk/cream,pasta,71,0,0,8,16,1,0,0,0,21
mozzarella,tomato,71,2,4,12,12,0,0,0,0,25
mustard,onion,71,0,0,5,10,0,0,0,8,19
bean,garlic,70,0,0,4,13,0,0,0,11,24
chicken,mushroom,70,0,0,5,20,0,0,0,0,0
cilantro,ginger,70,0,0,8,12,0,0,0,7,13
basil,herb,69,0,0,9,17,1,0,0,9,26
bread,milk/cream,69,24,22,0,0,12,0,0,0,43
cinnamon,ginger,69,3,4,1,4,28,0,9,5,29
citrus,fish,69,0,2,2,15,0,0,0,0,1
citrus,garlic,69,0,0,0,8,0,0,0,6,10
fish,garlic,69,0,0,2,13,0,0,0,0,0
herb,pepper,69,0,0,3,10,0,0,0,12,20
sausage,tomato,69,3,5,6,16,0,0,0,0,0
berry,strawberry,68,5,8,0,0,54,0,7,19,49
cheese,potato,68,3,4,3,5,0,0,0,0,39
herb,mushroom,68,1,2,4,7,0,0,0,3,23
bacon,milk/cream,67,2,4,12,2,0,0,0,0,0
bacon,tomato,67,3,4,13,11,0,0,0,0,0
berry,raspberry,67,1,3,0,0,62,0,8,9,42
cheese,mushroom,67,2,6,10,13,0,0,0,0,33
cilantro,hot pepper,67,1,1,5,8,0,0,0,9,17
garlic,rosemary,67,0,0,2,19,0,0,0,8,13
garlic,vinegar,67,0,0,0,3,0,0,0,8,11
hot pepper,onion,67,0,0,6,11,0,0,0,5,17
jalapeno,onion,67,0,0,4,5,0,0,0,14,30
milk/cream,parmesan,67,2,5,4,7,1,0,0,0,31
bacon,potato,65,0,1,11,7,0,0,0,0,0
bell pepper,garlic,65,1,1,4,9,0,0,0,6,15
garlic,lamb,65,0,0,1,20,0,0,0,0,0
milk/cream,strawberry,65,1,0,0,0,63,0,1,1,36
onion,rice,65,0,0,3,7,0,0,0,6,17
basil,garlic,64,0,0,2,9,0,0,0,6,25
cheese,goat cheese,64,2,4,15,9,0,0,0,0,40
corn,tomato,64,0,0,8,7,0,0,0,16,32
cucumber,tomato,64,1,0,16,5,0,0,0,13,27
milk/cream,tomato,64,1,2,10,9,2,0,0,0,12
chicken,lemon,62,0,0,6,16,0,0,0,0,0
cilantro,jalapeno,62,2,2,4,7,0,0,0,12,19
fish,ginger,62,0,0,2,17,0,0,0,0,0
garlic,hot pepper,62,0,0,5,7,0,0,0,4,8
leafy green,pork,62,2,3,4,7,0,0,0,0,0
lemon,orange,62,2,4,0,2,20,0,27,7,15
onion,sausage,62,4,4,4,7,0,0,0,0,0
carrot,potato,61,0,0,5,15,0,0,0,5,21
feta,tomato,61,2,2,8,6,0,0,0,0,27
garlic,parmesan,61,0,1,4,8,0,0,0,0,29
herb,rosemary,61,2,2,3,14,2,0,0,4,11
onion,thyme,61,1,2,1,7,0,0,0,6,14
pasta,pork,61,0,0,4,15,0,0,0,0,0
almond,milk/cream,60,2,2,0,0,51,0,0,0,29
bread,egg,60,16,12,1,0,10,0,0,0,35
egg,orange,60,2,3,0,1,50,0,3,0,36
garlic,leafy green,60,0,0,7,11,0,0,0,11,28
ginger,milk/cream,60,3,5,0,2,41,0,5,0,33
herb,milk/cream,60,4,4,6,10,4,0,0,0,19
jalapeno,tomato,60,0,0,3,8,0,0,0,11,19
leafy green,spinach,60,1,2,5,9,0,0,0,11,29
lemon,parsley,60,0,0,3,9,0,0,0,10,19
basil,parmesan,59,2,2,4,6,0,0,0,0,19
beef,mushroom,59,0,0,0,17,0,0,0,0,0
beef,red wine,59,0,0,0,20,0,0,0,0,0
egg,potato,59,12,14,8,8,0,0,0,0,30
egg,tomato,58,20,25,10,4,0,0,0,0,26
milk/cream,rum,58,0,0,0,0,36,0,17,0,18
tomato,zucchini,58,1,2,7,9,0,0,0,14,32
cinnamon,milk/cream,57,4,6,0,0,41,0,10,0,30
cream cheese,egg,57,13,14,4,0,39,0,0,0,32
garlic,thyme,57,0,0,1,10,0,0,0,6,11
milk/cream,raspberry,57,2,0,0,0,53,0,3,1,32
carrot,tomato,56,0,0,4,9,0,0,0,5,6
chicken,cilantro,56,1,1,6,11,0,0,0,0,0
cilantro,herb,56,0,0,8,8,0,0,0,11,20
coffee,milk/cream,56,2,1,0,0,43,0,18,0,29
garlic,olive,56,0,0,2,7,0,0,0,4,15
onion,parmesan,56,1,2,2,1,1,0,0,0,20
apple,cinnamon,55,8,10,0,0,30,0,12,2,23
carrot,garlic,55,1,1,2,10,0,0,0,6,13
cranberry,orange,55,4,4,0,0,15,0,9,15,24
herb,lamb,55,0,0,1,13,0,0,0,0,0
herb,mustard,55,0,0,1,7,0,0,0,2,6
lemon,onion,55,0,0,2,6,0,0,0,8,15
beef,pork,54,0,0,5,16,0,0,0,0,0
carrot,chicken,54,1,1,2,8,0,0,0,0,0
cucumber,mint,54,0,0,7,3,1,0,10,9,17
egg,sour cream,54,7,8,3,2,30,0,0,0,26
garlic,white wine,54,0,0,1,15,0,0,0,0,2
ginger,lime,54,1,1,4,7,8,0,8,3,10
herb,thyme,54,1,1,2,14,0,0,1,7,15
apple,raisin,53,2,2,0,0,27,0,0,4,24
carrot,herb,53,0,0,1,9,0,0,0,6,11
chicken,leafy green,53,0,0,9,16,0,0,0,0,0
cornmeal,milk/cream,53,12,14,2,1,4,0,0,0,33
fish,lemon,53,0,0,5,12,0,0,0,0,1
fish,potato,53,1,2,4,14,0,0,0,0,0
onion,poultry,53,0,1,6,21,0,0,0,0,0
beef,carrot,52,0,0,3,18,0,0,0,0,0
beef,potato,52,3,1,0,10,0,0,0,0,0
chicken,potato,52,0,1,3,15,0,0,0,0,0
chocolate,pecan,52,3,3,0,0,45,0,0,0,27
citrus,lime,52,0,0,1,6,22,0,4,8,17
hot pepper,pepper,52,3,2,6,6,0,0,0,4,17
mustard,pork,52,3,3,3,17,0,0,0,0,0
noodle,pasta,52,0,0,8,35,0,0,0,4,19
onion,shrimp,52,0,0,4,6,0,0,0,1,1
rice,tomato,52,0,0,4,5,0,0,0,8,18
berry,blueberry,51,7,8,0,1,40,0,3,9,37
egg,ginger,51,1,1,0,1,39,0,1,0,32
garlic,poultry,51,0,0,3,15,0,0,0,0,0
ginger,vinegar,51,0,0,1,4,0,0,0,12,13
