source,target,dessert,source.category,target.category
almond,apricot,22,Nut,Fruit
almond,berry,26,Nut,Fruit
almond,cherry,36,Nut,Fruit
almond,chocolate,68,Nut,Misc
almond,cream cheese,16,Nut,Dairy
almond,egg,72,Nut,Poultry
almond,ginger,15,Nut,Vegetable
almond,honey,24,Nut,Condiment
almond,lemon,20,Nut,Fruit
almond,milk/cream,51,Nut,Dairy
almond,orange,25,Nut,Fruit
almond,pear,17,Nut,Fruit
almond,raspberry,18,Nut,Fruit
almond,strawberry,15,Nut,Fruit
almond,walnut,19,Nut,Nut
apple,cinnamon,30,Fruit,Spice
apple,cranberry,17,Fruit,Fruit
apple,egg,27,Fruit,Poultry
apple,milk/cream,23,Fruit,Dairy
apple,pecan,17,Fruit,Nut
apple,raisin,27,Fruit,Fruit
apple,walnut,19,Fruit,Nut
apricot,cherry,20,Fruit,Fruit
apricot,egg,15,Fruit,Poultry
banana,chocolate,25,Fruit,Misc
banana,milk/cream,25,Fruit,Dairy
banana,rum,21,Fruit,Alcohol
berry,blackberry,33,Fruit,Fruit
berry,blueberry,40,Fruit,Fruit
berry,chocolate,30,Fruit,Misc
berry,citrus,29,Fruit,Fruit
berry,cranberry,16,Fruit,Fruit
berry,cream cheese,15,Fruit,Dairy
berry,egg,34,Fruit,Poultry
berry,lemon,25,Fruit,Fruit
berry,milk/cream,44,Fruit,Dairy
berry,peach,17,Fruit,Fruit
berry,raspberry,62,Fruit,Fruit
berry,strawberry,54,Fruit,Fruit
blackberry,blueberry,18,Fruit,Fruit
blackberry,egg,19,Fruit,Poultry
blackberry,milk/cream,24,Fruit,Dairy
blackberry,raspberry,29,Fruit,Fruit
blueberry,lemon,29,Fruit,Fruit
blueberry,milk/cream,26,Fruit,Dairy
blueberry,raspberry,28,Fruit,Fruit
blueberry,strawberry,15,Fruit,Fruit
bourbon,pecan,16,Alcohol,Nut
butter,egg,15,Dairy,Poultry
carrot,cream cheese,15,Vegetable,Dairy
cheese,cream cheese,27,Dairy,Dairy
cheese,egg,15,Dairy,Poultry
cherry,chocolate,36,Fruit,Misc
cherry,milk/cream,21,Fruit,Dairy
chocolate,cinnamon,25,Misc,Spice
chocolate,citrus,19,Misc,Fruit
chocolate,coconut,33,Misc,Fruit
chocolate,coffee,61,Misc,Misc
