source,target,dinner,source.category,target.category
apple,pork,13,Fruit,Meat
bacon,beef,10,Meat,Meat
bacon,onion,12,Meat,Vegetable
bacon,pasta,10,Meat,Grain
bacon,pork,16,Meat,Meat
bacon,tomato,11,Meat,Vegetable
basil,herb,17,Herb,Herb
basil,pasta,14,Herb,Grain
basil,tomato,17,Herb,Vegetable
bean,garlic,13,Vegetable,Herb
bean,pasta,10,Vegetable,Grain
bean,sausage,10,Vegetable,Meat
bean,tomato,14,Vegetable,Vegetable
beef,beef rib,10,Meat,Meat
beef,beef tenderloin,14,Meat,Meat
beef,carrot,18,Meat,Vegetable
beef,garlic,17,Meat,Herb
beef,ginger,11,Meat,Vegetable
beef,ground beef,18,Meat,Meat
beef,herb,20,Meat,Herb
beef,mushroom,17,Meat,Vegetable
beef,mustard,10,Meat,Condiment
beef,noodle,12,Meat,Grain
beef,onion,32,Meat,Vegetable
beef,pepper,11,Meat,Vegetable
beef,pork,16,Meat,Meat
beef,potato,10,Meat,Vegetable
beef,red wine,20,Meat,Alcohol
beef,soy sauce,12,Meat,Condiment
beef,tomato,18,Meat,Vegetable
beef,wine,13,Meat,Alcohol
bell pepper,chicken,11,Vegetable,Meat
bell pepper,onion,16,Vegetable,Vegetable
bell pepper,pepper,22,Vegetable,Vegetable
bell pepper,potato,10,Vegetable,Vegetable
bell pepper,tomato,19,Vegetable,Vegetable
butternut squash,squash,10,Vegetable,Vegetable
carrot,garlic,10,Vegetable,Herb
carrot,onion,21,Vegetable,Vegetable
carrot,potato,15,Vegetable,Vegetable
cheddar,cheese,16,Dairy,Dairy
cheese,chicken,11,Dairy,Meat
cheese,garlic,15,Dairy,Herb
cheese,herb,23,Dairy,Herb
cheese,leafy green,13,Dairy,Vegetable
cheese,mushroom,13,Dairy,Vegetable
cheese,noodle,10,Dairy,Grain
cheese,onion,17,Dairy,Vegetable
cheese,parmesan,21,Dairy,Dairy
cheese,pasta,37,Dairy,Grain
cheese,poultry,10,Dairy,Meat
cheese,spinach,10,Dairy,Vegetable
cheese,tomato,30,Dairy,Vegetable
chicken,chile pepper,13,Meat,Vegetable
chicken,cilantro,11,Meat,Herb
chicken,citrus,10,Meat,Fruit
chicken,garlic,35,Meat,Herb
chicken,ginger,21,Meat,Vegetable
chicken,herb,32,Meat,Herb
chicken,leafy green,16,Meat,Vegetable
chicken,lemon,16,Meat,Fruit
chicken,milk/cream,11,Meat,Dairy
chicken,mushroom,20,Meat,Vegetable
chicken,mustard,14,Meat,Condiment
chicken,noodle,11,Meat,Grain
chicken,olive,13,Meat,Vegetable
chicken,onion,40,Meat,Vegetable
chicken,orange,10,Meat,Fruit
chicken,pasta,10,Meat,Grain
chicken,potato,15,Meat,Vegetable
chicken,poultry,87,Meat,Meat
chicken,soy sauce,13,Meat,Condiment
